movie_id,rank,title,runtime,year,rating,votes
tt2481498,159,"Extremely Wicked, Shockingly Evil and Vile",1h 50m,2019,6.7, (111K
tt8633478,160,Run,1h 30m,2020,6.7, (109K
tt4332232,161,Fractured,1h 39m,2019,6.5, (108K
tt7838252,162,K.G.F: Chapter 1,2h 34m,2018,8.2, (108K
tt4218572,163,Widows,2h 9m,2018,6.8, (108K
tt8580274,164,Eurovision Song Contest: The Story of Fire Saga,2h 3m,2020,6.5, (108K
tt7939766,165,I'm Thinking of Ending Things,2h 14m,2020,6.5, (107K
tt1088616,166,365 Days,1h 54m,2020,3.3, (106K
tt1063345,167,Minari,1h 55m,2020,7.4, (106K
tt2274648,168,Hellboy,2h,2019,5.3, (106K
tt5774060,169,Underwater,1h 35m,2020,5.9, (106K
tt2709692,170,The Grinch,1h 25m,2018,6.4, (106K
tt7456310,171,Anna,1h 58m,2019,6.7, (105K
tt4139588,172,Polar,1h 58m,2019,6.3, (105K
tt3513548,173,Richard Jewell,2h 11m,2019,7.5, (105K
tt8629748,174,Spenser Confidential,1h 51m,2020,6.2, (105K
tt6292852,175,I Am Mother,1h 53m,2019,6.7, (105K
tt0837563,176,Pet Sematary,1h 40m,2019,5.7, (103K
tt4003440,177,The House That Jack Built,2h 32m,2018,6.8, (103K
tt6924650,178,Midway,2h 18m,2019,6.7, (103K
tt1034415,179,Suspiria,2h 32m,2018,6.7, (103K
tt7550000,180,Project Power,1h 53m,2020,6.0, (102K
tt3799232,181,The Kissing Booth,1h 45m,2018,5.9, (101K
tt8364368,182,Crawl,1h 27m,2019,6.1, (101K
tt8695030,183,The Dead Don't Die,1h 44m,2019,5.4, (100K
tt6878306,184,News of the World,1h 58m,2020,6.8, (100K
tt5028340,185,Mary Poppins Returns,2h 10m,2018,6.7, (99K
tt4682266,186,The New Mutants,1h 34m,2020,5.3, (99K
tt1413492,187,12 Strong,2h 10m,2018,6.5, (99K
tt8623904,188,Last Christmas,1h 43m,2019,6.5, (99K
tt8350360,189,Annabelle Comes Home,1h 46m,2019,5.9, (99K
tt6998518,190,Mandy,2h 1m,2018,6.5, (97K
tt7886848,191,Sadak 2,2h 13m,2020,1.2, (97K
tt5220122,192,Hotel Transylvania 3: Summer Vacation,1h 37m,2018,6.3, (96K
tt1103237,193,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,1h 57m,2020,8.2, (94K
tt6472976,194,Five Feet Apart,1h 56m,2019,7.2, (94K
tt8155288,195,Happy Death Day 2U,1h 40m,2019,6.2, (94K
tt8075192,196,Shoplifters,2h 1m,2018,7.9, (93K
tt1146482,197,The Social Dilemma,1h 34m,2020,7.6, (93K
tt5688932,198,Sorry to Bother You,1h 52m,2018,6.9, (93K
tt3224458,199,A Beautiful Day in the Neighborhood,1h 49m,2019,7.2, (93K
tt1053960,200,The Midnight Sky,1h 58m,2020,5.7, (93K
tt4560436,201,Mile 22,1h 34m,2018,6.1, (92K
tt6513120,202,Fighting with My Family,1h 48m,2019,7.0, (92K
tt3387520,203,Scary Stories to Tell in the Dark,1h 48m,2019,6.2, (91K
tt2531344,204,Blockers,1h 42m,2018,6.2, (91K
tt2990140,205,The Christmas Chronicles,1h 44m,2018,7.0, (90K
tt1634106,206,Bloodshot,1h 49m,2020,5.7, (90K
